Sample ID	Sample label	U [mg/kg]	Th [mg/kg]	232Th/238U	206Pb [mg/kg]	f206 [%]	207Pb/206Pb	207Pb/206Pb e rel [%]	207Pb/235U	207Pb/235U e rel [%]	206Pb/238U	206Pb/238U e rel [%]	Age dated [ka] (Age, 206Pb/238U Lead-Uranium)	Age e [±] (Age, 206Pb/238U Lead-Uranium)	Age dated [ka] (Age, 207Pb/206Pb Lead-Lead)	Age e [±] (Age, 207Pb/206Pb Lead-Lead)	Perc [%]
ABA/10B	2.1r	1381	38	0.03	215.0	0.29	0.08	1.50	1.890	2.0	0.18	1.4	1070000	13000	1092000	29000	2
ABA/10B	3.1rc	1569	48	0.03	187.0	0.21	0.07	0.68	1.380	1.4	0.14	1.2	835000	9600	994000	14000	19
ABA/10B	4.1c	800	65	0.08	129.0	0.00	0.08	0.55	1.970	1.3	0.19	1.1	1108000	12000	1098000	11000	-1
ABA/10B	5.1c	493	280	0.59	79.9	0.00	0.08	0.73	2.010	1.4	0.19	1.2	1115000	12000	1126000	15000	1
ABA/10B	6.1c	200	136	0.70	33.9	0.00	0.08	0.99	2.100	1.6	0.20	1.2	1159000	13000	1127000	20000	-3
ABA/10B	7.1rc	3156	247	0.08	425.0	0.37	0.07	0.72	1.610	1.3	0.16	1.1	936000	9900	1058000	14000	13
ABA/10B	8.1c	476	86	0.19	78.4	0.81	0.08	2.00	2.000	2.4	0.19	1.2	1123000	12000	1103000	41000	-2
ABA/10B	9.1rc	1046	44	0.04	135.0	0.10	0.07	1.30	1.500	1.7	0.15	1.1	901000	9400	1005000	27000	12
ABA/10B	10.1r	353	150	0.44	51.5	0.00	0.08	0.74	1.800	1.4	0.17	1.2	1011000	11000	1119000	15000	11
ABA/10B	11.1c	610	74	0.13	98.5	0.09	0.08	1.20	1.970	1.8	0.19	1.4	1109000	14000	1094000	23000	-1
ABA/10B	12.1r	352	98	0.29	55.1	0.00	0.08	0.95	1.900	1.9	0.18	1.6	1078000	16000	1089000	19000	1
ABA/10B	12.2rc	1889	110	0.06	156.0	0.61	0.07	4.70	0.930	4.8	0.10	1.1	590000	6300	928000	96000	57
ABA/10B	13.1r	2061	82	0.04	327.0	0.41	0.08	0.96	1.960	2.0	0.18	1.7	1089000	18000	1132000	19000	4
ABA/10B	14.1r	740	77	0.11	117.0	0.18	0.08	1.40	1.920	1.8	0.18	1.1	1083000	11000	1096000	27000	1
ABA/10B	15.2rc	1003	107	0.11	139.0	0.27	0.08	0.89	1.690	2.2	0.16	2.0	964000	18000	1095000	18000	14
ABA/10B	16.1c	4691	63	0.01	823.0	0.29	0.08	0.63	2.150	1.3	0.20	1.1	1194000	12000	1108000	13000	-7
ABA/10B	17.1r	1423	58	0.04	214.0	0.03	0.08	0.67	1.820	1.7	0.17	1.5	1038000	15000	1082000	13000	4
ABA/10B	18.1r	443	69	0.16	65.0	0.44	0.08	1.90	1.770	2.5	0.17	1.6	1012000	15000	1078000	38000	7
